ICD CODE,DESCRIPTION
J205,acute bronchitis due to respiratory syncytial virus
B309,"viral conjunctivitis, unspecified"
H404,glaucoma secondary to eye inflammation
M6516,"other infective (teno)synovitis, lower leg"
B361,tinea nigra
S728,fractures of other parts of femur
A78,q fever
K920,haematemesis
R798,other specified abnormal findings of blood chemistry
A492,"haemophilus influenzae infection, unspecified"
Z566,other physical and mental strain related to work
M6509,"abscess of tendon sheath, site unspecified"
S624,multiple fractures of metacarpal bones
E1149,type 2 diabetes mellitus with other specified neurological complication
S509,"superficial injury of forearm, unspecified"
M7980,"other specified soft tissue disorders, multiple sites"
S5253,fracture of lower end of radius with volar angulation and intra-articular fracture
S6362,"sprain and strain of interphalangeal (joint), hand"
M4649,"unspecified discitis, site unspecified"
M6720,"synovial hypertrophy, not elsewhere classified, multiple sites"
M6805,"synovitis and tenosynovitis in bacterial diseases classified elsewhere, pelvic region and thigh"
G939,"disorder of brain, unspecified"
S627,multiple fractures of fingers
J384,oedema of larynx
D331,"benign neoplasm of brain , infratentorial"
S867,injury of multiple muscles and tendons at lower leg level
M928,other specified juvenile osteochondrosis
I491,atrial premature depolarisation
K522,allergic and dietetic gastroenteritis and colitis
M4606,"spinal enthesopathy, lumbar region"
T813,"disruption of operation wound, not elsewhere classified"
G628,other specified polyneuropathies
I730,raynaud's syndrome
I252,old myocardial infarction
M6296,"unspecified disorder of muscle, lower leg"
H611,noninfective disorders of pinna
M0598,"seropositive rheumatoid arthritis, unspecified, other site"
H604,cholesteatoma of external ear
S6084,superficial foreign body (splinter) of wrist and hand
K620,anal polyp
I774,coeliac artery compression syndrome
M4713,"other spondylosis with myelopathy, cervicothoracic region"
K624,stenosis of anus and rectum
M1387,"other specified arthritis, ankle and foot"
K4091,"unilateral or unspecified inguinal hernia, without obstruction or gangrene, recurrent"
R400,somnolence
M6782,"other specified diseases of synovium and tendon, upper arm"
T675,"heat exhaustion, unspecified"
M4807,"spinal stenosis, lumbosacral region"
M1006,"idiopathic gout, lower leg"
M6080,"other myositis, multiple sites"
K604,rectal fistula
E0951,"impaired glucose regulation with peripheral angiopathy, without gangrene"
M0086,"arthritis and polyarthritis due to other specified bacterial agents, lower leg"
M8587,"other specified disorders of bone density and structure, ankle and foot"
K567,"ileus, unspecified"
K521,toxic gastroenteritis and colitis
K738,"other chronic hepatitis, not elsewhere classified"
S1010,"other and unspecified superficial injuries of throat, unspecified superficial injury"
E799,"disorder of purine and pyrimidine metabolism, unspecified"
M7994,"unspecified soft tissue disorder, hand"
M1093,"gout, unspecified, forearm"
S3201,"fracture of lumbar vertebra, l1 level"
S3200,"fracture of lumbar vertebra, level unspecified"
M5480,"other dorsalgia, multiple sites in spine"
S5259,other and multiple fractures of lower end of radius
E880,"disorders of plasma-protein metabolism, not elsewhere classified"
R932,abnormal findings on diagnostic imaging of liver and biliary tract
K352,acute appendicitis with generalised peritonitis
K822,perforation of gallbladder
M4799,"unspecified spondylosis, site unspecified"
E1136,type 2 diabetes mellitus with diabetic cataract
E1331,other specified diabetes mellitus with background retinopathy
E1333,other specified diabetes mellitus with proliferative retinopathy
Z131,special screening examination for impaired glucose regulation and diabetes mellitus
N482,other inflammatory disorders of penis
R69,unknown and unspecified causes of morbidity
N009,"acute nephritic syndrome, unspecified"
I890,"lymphoedema, not elsewhere classified"
M0648,"inflammatory polyarthropathy, other site"
M6245,"contracture of muscle, pelvic region and thigh"
S9338,dislocation of other part of foot
H951,other disorders following mastoidectomy
S563,injury of extensor or abductor muscles and tendons of thumb at forearm level
K650,acute peritonitis
M1239,"palindromic rheumatism, site unspecified"
L658,other specified nonscarring hair loss
M0284,"other reactive arthropathies, hand"
S6250,"fracture of thumb, part unspecified"
M6781,"other specified diseases of synovium and tendon, shoulder region"
H055,retained (old) foreign body following penetrating wound of orbit
M7244,"pseudosarcomatous fibromatosis, hand"
E351,disorders of adrenal glands in diseases classified elsewhere
H050,acute inflammation of orbit
K5793,"diverticulitis of intestine, part unspecified, without perforation or abscess, with haemorrhage"
G4050,"special epileptic syndromes, without mention of intractable epilepsy"
M6529,"calcific tendinitis, site unspecified"
M2300,"cystic meniscus, multiple sites"
M767,peroneal tendinitis
H470,"disorders of optic nerve, not elsewhere classified"
M4690,"unspecified inflammatory spondylopathy, multiple sites in spine"
Z123,special screening examination for neoplasm of breast
K611,rectal abscess
D473,essential (haemorrhagic) thrombocythaemia
M2567,"stiffness of joint, not elsewhere classified, ankle and foot"
R521,chronic intractable pain
D172,benign lipomatous neoplasm of skin and subcutaneous tissue of limbs
L26,exfoliative dermatitis
I501,left ventricular failure
E1040,type 1 diabetes mellitus with unspecified neuropathy
M2562,"stiffness of joint, not elsewhere classified, upper arm"
S2018,"other and unspecified superficial injuries of breast, other"
M2362,other spontaneous disruption of posterior cruciate ligament
S461,injury of muscle and tendon of long head of biceps
Z043,examination and observation following other accident
E1013,"type 1 diabetes mellitus with lactic acidosis, without coma"
L048,acute lymphadenitis of other sites
S5202,fracture of coronoid process of ulna
E1031,type 1 diabetes mellitus with background retinopathy
N369,"urethral disorder, unspecified"
D168,"benign neoplasm of pelvic bones, sacrum and coccyx"
M7380,"other soft tissue disorders in diseases classified elsewhere, multiple sites"
W069,fall involving unspecified bed
O429,"premature rupture of membranes, unspecified"
L505,cholinergic urticaria
I500,congestive heart failure
M340,progressive systemic sclerosis
M1092,"gout, unspecified, upper arm"
M1048,"other secondary gout, other site"
I447,"left bundle-branch block, unspecified"
B338,other specified viral diseases
Z9665,presence of knee implant
K562,volvulus
A059,"bacterial food-borne intoxication, unspecified"
A085,other specified intestinal infections
S4241,supracondylar fracture of humerus
K458,other specified abdominal hernia without obstruction or gangrene
M6519,"other infective (teno)synovitis, site unspecified"
M6616,"rupture of synovium, lower leg"
F3220,"severe depressive episode without psychotic symptoms, not specified as arising in the postnatal period"
M4802,"spinal stenosis, cervical region"
M4882,"other specified spondylopathies, cervical region"
S021,fracture of base of skull
S068,other intracranial injuries
M2361,other spontaneous disruption of anterior cruciate ligament
W010,fall on same level from slipping
M0135,"arthritis in other bacterial diseases classified elsewhere, pelvic region and thigh"
R871,"abnormal findings in specimens from female genital organs, abnormal level of hormones"
M0696,"rheumatoid arthritis, unspecified, lower leg"
M6297,"unspecified disorder of muscle, ankle and foot"
L990,amyloidosis of skin (e85.-+)
H910,ototoxic hearing loss
B179,"acute viral hepatitis, unspecified"
S6082,blister of wrist and hand
S6251,fracture of proximal phalanx of thumb
H052,exophthalmic conditions
A719,"trachoma, unspecified"
L930,discoid lupus erythematosus
H588,other specified disorders of eye and adnexa in diseases classified elsewhere
E1164,type 2 diabetes mellitus with hypoglycaemia
Z952,presence of prosthetic heart valve
E1171,type 2 diabetes mellitus with multiple microvascular complications
Z921,personal history of long-term (current) use of anticoagulants
T180,foreign body in mouth
J391,other abscess of pharynx
G4732,obstructive sleep apnoea syndrome
R093,abnormal sputum
I742,embolism and thrombosis of arteries of upper extremities
Y441,"vitamin b12, folic acid and other anti-megaloblastic-anaemia preparations causing adverse effects in therapeutic use"
H509,"strabismus, unspecified"
N308,other cystitis
L701,acne conglobata
T8900,"complications of open wounds, unspecified"
M9327,"osteochondritis dissecans, ankle and foot"
S932,rupture of ligaments at ankle and foot level
K8021,"calculus of gallbladder without cholecystitis, with obstruction"
M2497,"unspecified joint derangement, ankle and foot"
I709,generalised and unspecified atherosclerosis
G568,other mononeuropathies of upper limb
R870,"abnormal findings in specimens from female genital organs, abnormal level of enzymes"
E45,retarded development following protein-energy malnutrition
M359,"systemic involvement of connective tissue, unspecified"
W83,other specified threats to breathing
K3188,other specified diseases of stomach and duodenum
S029,"fracture of skull and facial bones, part unspecified"
M8158,"idiopathic osteoporosis, other site"
S655,injury of blood vessel(s) of other finger
D223,melanocytic naevi of other and unspecified parts of face
M2563,"stiffness of joint, not elsewhere classified, forearm"
N831,corpus luteum cyst
S6300,"dislocation of wrist, part unspecified"
D520,dietary folate deficiency anaemia
C720,malignant neoplasm of spinal cord
D464,"refractory anaemia, unspecified"
N488,other specified disorders of penis
K250,"gastric ulcer, acute with haemorrhage"
M1040,"other secondary gout, multiple sites"
O9121,"nonpurulent mastitis associated with childbirth, with mention of attachment difficulty"
H019,"inflammation of eyelid, unspecified"
L722,steatocystoma multiplex
E1143,type 2 diabetes mellitus with diabetic autonomic neuropathy
K669,"disorder of peritoneum, unspecified"
M4192,"unspecified scoliosis, cervical region"
M6097,"unspecified myositis, ankle and foot"
M6249,"contracture of muscle, site unspecified"
I609,"subarachnoid haemorrhage, unspecified"
T1105,"contusion of upper limb, level unspecified"
R2988,other and unspecified symptoms and signs involving the nervous system
G4040,"other generalised epilepsy and epileptic syndromes, without mention of intractable epilepsy"
E271,primary adrenocortical insufficiency
M7108,"abscess of bursa, other site"
M4012,"other secondary kyphosis, cervical region"
F489,"neurotic disorder, unspecified"
T887,unspecified adverse effect of drug or medicament
M352,behcet's disease
S9082,blister of ankle and foot
M5408,"panniculitis affecting regions of neck and back, sacral and sacrococcygeal region"
H728,other perforations of tympanic membrane
K115,sialolithiasis
M0750,"arthropathy in ulcerative colitis, multiple sites (k51.-+)"
M0758,"arthropathy in ulcerative colitis, other site (k51.-+)"
I208,other forms of angina pectoris
F528,"other sexual dysfunction, not caused by organic disorder or disease"
K831,obstruction of bile duct
K830,cholangitis
M175,other secondary gonarthrosis
M7950,"residual foreign body in soft tissue, multiple sites"
G4733,sleep hypoventilation syndrome
L919,"hypertrophic disorder of skin, unspecified"
I152,hypertension secondary to endocrine disorders
M4309,"spondylolysis, site unspecified"
G253,myoclonus
S5231,fracture of distal shaft of radius with dislocation of head of ulna
F509,"eating disorder, unspecified"
A070,balantidiasis
A609,"anogenital herpesviral infection, unspecified"
F82,specific developmental disorder of motor function
M2561,"stiffness of joint, not elsewhere classified, shoulder region"
S861,injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level
I451,other and unspecified right bundle-branch block
D758,other specified diseases of blood and blood-forming organs
I708,atherosclerosis of other arteries
M8550,"aneurysmal bone cyst, multiple sites"
S9081,abrasion of ankle and foot
B238,hiv disease resulting in other specified conditions
L817,pigmented purpuric dermatosis
M2423,"disorder of ligament, forearm"
M7301,"gonococcal bursitis, shoulder region (a54.4+)"
M5488,"other dorsalgia, sacral and sacrococcygeal region"
M6227,"ischaemic infarction of muscle, ankle and foot"
E798,other disorders of purine and pyrimidine metabolism
S528,fracture of other parts of forearm
L9100,"hypertrophic scar, unspecified cause"
S428,fracture of other parts of shoulder and upper arm
M2539,"other instability of joint, site unspecified"
G4081,"other epilepsy, with intractable eilepsy"
J46,status asthmaticus
B948,sequelae of other specified infectious and parasitic diseases
N301,interstitial cystitis (chronic)
E560,deficiency of vitamin e
L293,"anogenital pruritus, unspecified"
T8902,open wound with infection
L404,guttate psoriasis
M5496,"unspecified dorsalgia, lumbar region"
J341,cyst and mucocele of nose and nasal sinus
S8344,rupture of medial collateral ligament
A009,"cholera, unspecified"
R568,other and unspecified convulsions
O873,cerebral venous thrombosis in the puerperium
H406,glaucoma secondary to drugs
D34,benign neoplasm of thyroid gland
M5495,"unspecified dorsalgia, thoracolumbar region"
O2682,carpal tunnel syndrome in pregnancy
E1001,type 1 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma (nkhhc)
M7104,"abscess of bursa, hand"
M2568,"stiffness of joint, not elsewhere classified, other site"
J381,polyp of vocal cord and larynx
B340,"adenovirus infection, unspecified"
M720,palmar fascial fibromatosis [dupuytren]
S411,open wound of upper arm
A029,"salmonella infection, unspecified"
M0695,"rheumatoid arthritis, unspecified, pelvic region and thigh"
M6591,"unspecified synovitis and tenosynovitis, shoulder region"
Q850,neurofibromatosis (nonmalignant)
N719,"inflammatory disease of uterus, unspecified"
H058,other disorders of orbit
H024,ptosis of eyelid
N281,"cyst of kidney, acquired"
D237,"other benign neoplasms of skin of lower limb, including hip"
D227,"melanocytic naevi of lower limb, including hip"
E1334,other specified diabetes mellitus with other retinopathy
G545,neuralgic amyotrophy
K514,inflammatory polyps 
Z5160,"allergen, unspecified"
D689,"coagulation defect, unspecified"
K918,"other postprocedural disorders of digestive system, not elsewhere classified"
T818,"other complications of procedures, not elsewhere classified"
Z760,issue of repeat prescription
H046,other changes in lacrimal passages
Z803,family history of malignant neoplasm of breast
A082,adenoviral enteritis
T1400,unspecified superficial injury of unspecified body region
K275,"peptic ulcer, chronic or unspecified with perforation"
M5486,"other dorsalgia, lumbar region"
N428,other specified disorders of prostate
G832,monoplegia of upper limb
Z232,need for immunisation against tuberculosis [bcg]
I440,"atrioventricular block, first degree"
I778,other specified disorders of arteries and arterioles
M1989,"other specified arthrosis, site unspecified"
E213,"hyperparathyroidism, unspecified"
Q5010,"developmental ovarian cyst, unspecified"
N421,congestion and haemorrhage of prostate
B851,pediculosis due to pediculus humanus corporis
N609,"benign mammary dysplasia, unspecified"
A6300,"anogenital (venereal) warts, unspecified site"
I450,right fascicular block
M4784,"other spondylosis, thoracic region"
Z094,follow-up examination after treatment of fracture
N020,"recurrent and persistent haematuria, minor glomerular abnormality"
H613,acquired stenosis of external ear canal
C442,malignant neoplasm of skin of ear and external auricular canal
I514,"myocarditis, unspecified"
D329,"benign neoplasm of meninges, unspecified"
K4040,"unilateral or unspecified inguinal hernia, with gangrene, not specified as recurrent"
M158,other polyarthrosis
M7181,"other specified bursopathies, shoulder region"
E310,autoimmune polyglandular failure
L949,"localised connective tissue disorder, unspecified"
M4508,"ankylosing spondylitis, sacral and sacrococcygeal region"
E870,hyperosmolality and hypernatraemia
S969,injury of unspecified muscle and tendon at ankle and foot level
D359,"benign neoplasm of endocrine gland, unspecified"
E311,polyglandular hyperfunction
Y546,"electrolytic, caloric and water-balance agents causing adverse effects in therapeutic use"
E1151,"type 2 diabetes mellitus with peripheral angiopathy, without gangrene"
M4600,"spinal enthesopathy, multiple sites in spine"
M6748,"ganglion, other site"
J683,"other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapours"
M2565,"stiffness of joint, not elsewhere classified, pelvic region and thigh"
M1917,"post-traumatic arthrosis of other joints, ankle and foot"
M5329,"spinal instabilities, site unspecified"
G373,acute transverse myelitis in demyelinating disease of central nervous system
H278,other specified disorders of lens
L419,"parapsoriasis, unspecified"
C349,"malignant neoplasm of bronchus or lung, unspecified"
A879,"viral meningitis, unspecified"
M357,hypermobility syndrome
M6649,"spontaneous rupture of other tendons, site unspecified"
A239,"brucellosis, unspecified"
B159,hepatitis a without hepatic coma
M8148,"drug-induced osteoporosis, other site"
M6200,"diastasis of muscle, multiple sites"
M8009,"postmenopausal osteoporosis with pathological fracture, site unspecified"
D688,other specified coagulation defects
E1065,type 1 diabetes mellitus with poor control
J668,airway disease due to other specific organic dusts
E1029,type 1 diabetes mellitus with other specified renal complication
I260,pulmonary embolism with mention of acute cor pulmonale
K8050,"calculus of bile duct without cholangitis or cholecystitis, without mention of obstruction"
K421,umbilical hernia with gangrene
N181,"chronic kidney disease, stage 1"
S433,dislocation of other and unspecified parts of shoulder girdle
I748,embolism and thrombosis of other arteries
B341,"enterovirus infection, unspecified"
S6353,sprain and strain of carpometacarpal (joint)
R463,overactivity
L601,onycholysis
K469,unspecified abdominal hernia without obstruction or gangrene
N432,other hydrocele
H040,dacryoadenitis
M8705,"idiopathic aseptic necrosis of bone, pelvic region and thigh"
K5750,"diverticulosis of both small and large intestine without perforation, abscess or mention of haemorrhage"
I349,"nonrheumatic mitral valve disorder, unspecified"
M6784,"other specified diseases of synovium and tendon, hand"
M4112,"juvenile idiopathic scoliosis, cervical region"
S930,dislocation of ankle joint
L602,onychogryphosis
J91,pleural effusion in conditions classified elsewhere
M8438,"stress fracture, not elsewhere classified, other site"
B332,viral carditis
O603,preterm delivery without spontaneous labour
M6880,"other disorders of synovium and tendon in diseases classified elsewhere, multiple sites"
M6582,"other synovitis and tenosynovitis, upper arm"
N130,hydronephrosis with ureteropelvic junction obstruction
M6299,"unspecified disorder of muscle, site unspecified"
O267,"subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium"
N133,other and unspecified hydronephrosis
L444,infantile papular acrodermatitis [gianotti-crosti]
D860,sarcoidosis of lung
N3988,other specified disorders of urinary system
M4130,"thoracogenic scoliosis, multiple sites in spine"
K719,"toxic liver disease, unspecified"
D511,vitamin b12 deficiency anaemia due to selective vitamin b12 malabsorption with proteinuria
M8001,"postmenopausal osteoporosis with pathological fracture, shoulder region"
N642,atrophy of breast
R633,feeding difficulties and mismanagement
R879,"abnormal findings in specimens from female genital organs, unspecified abnormal finding"
G603,idiopathic progressive neuropathy
R258,other and unspecified abnormal involuntary movements
E1465,unspecified diabetes mellitus with poor control
N139,"obstructive and reflux uropathy, unspecified"
M2359,"chronic instability, unspecified ligament or unspecified meniscus"
R438,other and unspecified disturbances of smell and taste
H268,other specified cataract
H549,unspecified visual impairment
S6212,fracture of triquetral bone of wrist
M1381,"other specified arthritis, shoulder region"
S8249,multiple fractures of fibula
G551,nerve root and plexus compressions in intervertebral disc disorders (m50-m51+)
M6147,"other calcification of muscle, ankle and foot"
M8159,"idiopathic osteoporosis, site unspecified"
G961,"disorders of meninges, not elsewhere classified"
Z3901,postpartum care after hospital delivery
K8001,"calculus of gallbladder with acute cholecystitis, with obstruction"
M204,other hammer toe(s) (acquired)
L958,other vasculitis limited to skin
D849,"immunodeficiency, unspecified"
L559,"sunburn, unspecified"
N500,atrophy of testis
M8329,"adult osteomalacia due to malabsorption, site unspecified"
N318,other neuromuscular dysfunction of bladder
L740,miliaria rubra
N759,"disease of bartholin's gland, unspecified"
H428,glaucoma in other diseases classified elsewhere
S8343,rupture of lateral collateral ligament
S0000,"superficial injury of scalp, unspecified"
D071,carcinoma in situ of vulva
N901,moderate vulvar dysplasia
M6791,"unspecified disorder of synovium and tendon, shoulder region"
F800,specific speech articulation disorder
D281,benign neoplasm of vagina
Q231,congenital insufficiency of aortic valve
S0123,open wound of nasal septum
N170,acute renal failure with tubular necrosis
M0740,"arthropathy in crohn's disease [regional enteritis], multiple sites (k50.-+)"
M4681,"other specified inflammatory spondylopathies, occipito-atlanto-axial region"
M4156,"other secondary scoliosis, lumbar region"
G948,other specified disorders of brain in diseases classified elsewhere
E778,other disorders of glycoprotein metabolism
S3728,other injury of bladder
B088,other specified viral infections characterised by skin and mucous membrane lesions
S1018,"other and unspecified superficial injuries of throat, other"
E280,oestrogen excess
M0730,"other psoriatic arthropathies, multiple sites (l40.5+)"
W079,fall involving unspecified chair
M0731,"other psoriatic arthropathies, shoulder region (l40.5+)"
D699,"haemorrhagic condition, unspecified"
M2333,other derangements of other and unspecified medial meniscus
I635,cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
H168,other keratitis
M7249,"pseudosarcomatous fibromatosis, site unspecified"
S7182,open wound (of any part of hip and thigh) communicating with a dislocation
K565,intestinal adhesions [bands] with obstruction
S0134,open wound of external auditory meatus
M6210,"other rupture of muscle (nontraumatic), multiple sites"
E1102,type 2 diabetes mellitus with hyperosmolarity with coma
E673,hypervitaminosis d
M5326,"spinal instabilities, lumbar region"
M0700,"distal interphalangeal psoriatic arthropathy (l40.5+), multiple sites"
D252,subserosal leiomyoma of uterus
R049,"haemorrhage from respiratory passages, unspecified"
F3221,"severe depressive episode without psychotic symptoms, arising in the postnatal period"
Z955,presence of coronary angioplasty implant and graft
M6264,"muscle strain, hand"
R294,clicking hip
M7922,"neuralgia and neuritis, unspecified, upper arm"
M5492,"unspecified dorsalgia, cervical region"
M8949,"other hypertrophic osteoarthropathy, site unspecified"
M6659,"spontaneous rupture of unspecified tendon, site unspecified"
M2411,"other articular cartilage disorders, shoulder region"
M8600,"acute haematogenous osteomyelitis, multiple sites"
M6734,"transient synovitis, hand"
S3202,"fracture of lumbar vertebra, l2 level"
M1258,"traumatic arthropathy, other site"
W800,inhalation and ingestion of coin causing obstruction of respiratory tarct
Z468,fitting and adjustment of other specified devices
E619,"deficiency of nutrient element, unspecified"
S642,injury of radial nerve at wrist and hand level
G518,other disorders of facial nerve
S709,"superficial injury of hip and thigh, unspecified"
I422,other hypertrophic cardiomyopathy
E838,other disorders of mineral metabolism
M8920,"other disorders of bone development and growth, multiple sites"
S0262,subcondylar fracture
O291,cardiac complications of anaesthesia during pregnancy
N838,"other noninflammatory disorders of ovary, fallopian tube and broad ligament"
I638,other cerebral infarction
S8288,fracture of other parts of lower leg
M5414,"radiculopathy, thoracic region"
H300,focal chorioretinal inflammation
A493,"mycoplasma infection, unspecified"
A519,"early syphilis, unspecified"
A749,"chlamydial infection, unspecified"
I517,cardiomegaly
D210,"other benign neoplasms of connective and other soft tissue of head, face and neck"
D173,benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites
C64,"malignant neoplasm of kidney, except renal pelvis"
R253,fasciculation
M9420,"chondromalacia, multiple sites"
M7159,"other bursitis, not elsewhere classified, site unspecified"
T038,"dislocations, sprains and strains involving other combinations of body regions"
M2440,"recurrent dislocation and subluxation of joint, multiple sites"
M700,chronic crepitant synovitis of hand and wrist
S290,injury of muscle and tendon at thorax level
N418,other inflammatory diseases of prostate
M2331,other derangements of anterior horn of medial meniscus
B54,unspecified malaria
M2170,"unequal limb length (acquired), multiple sites"
Z391,care and examination of lactating mother
N110,nonobstructive reflux-associated chronic pyelonephritis
K612,anorectal abscess
S058,other injuries of eye and orbit
M2349,"loose body, unspecified ligament or unspecified meniscus"
M2329,"derangement of meniscus, unspecified, due to old tear or injury"
M319,"necrotising vasculopathy, unspecified"
G4070,"petit mal, unspecified, without grand mal seizures, without mention of intractable epilepsy"
I350,aortic (valve) stenosis
S827,multiple fractures of lower leg
S0098,"superficial injury of head, part unspecified, other"
N218,other lower urinary tract calculus
N023,"recurrent and persistent haematuria, diffuse mesangial proliferative glomerulonephritis"
D824,hyperimmunoglobulin e [ige] syndrome
M6726,"synovial hypertrophy, not elsewhere classified, lower leg"
A153,"tuberculosis of lung, confirmed by unspecified means"
M6736,"transient synovitis, lower leg"
S4213,fracture of coracoid process
N060,isolated proteinuria with minor glomerular abnormality
M6732,"transient synovitis, upper arm"
M4717,"other spondylosis with myelopathy, lumbosacral region"
N163,renal tubulo-interstitial disorders in metabolic diseases
A259,"rat-bite fever, unspecified"
K632,fistula of intestine
L236,allergic contact dermatitis due to food in contact with skin
N211,calculus in urethra
A071,giardiasis [lambliasis]
M4645,"unspecified discitis, thoracolumbar region"
S0005,"superficial injury of scalp, contusion"
F418,other specified anxiety disorders
S632,multiple dislocations of fingers
L433,subacute (active) lichen planus
T2230,"full thickness burn of shoulder and upper limb, except wrist and hand, upper limb, unspecified site"
M2544,"effusion of joint, hand"
S7180,open wound of other and unspecified parts of pelvic girdle
F338,other recurrent depressive disorders
Z030,observation for suspected tuberculosis
S764,injury of other and unspecified muscles and tendons at thigh level
M8150,"idiopathic osteoporosis, multiple sites"
M7107,"abscess of bursa, ankle and foot"
W109,fall on and from other and unspecified stairs and steps
S5341,sprain and strain of radial collateral ligament
O044,"medical abortion, incomplete, without complication"
W230,"caught, crushed, jammed or pinched in or between door"
J204,acute bronchitis due to parainfluenza virus
K4021,"bilateral inguinal hernia, without obstruction or gangrene, recurrent"
M7974,"fibromyalgia, hand"
H518,other specified disorders of binocular movement
B09,unspecified viral infection characterised by skin and mucous membrane lesions
S9330,"dislocation of foot, part unspecified"
H439,"disorder of vitreous body, unspecified"
N483,priapism
I788,other diseases of capillaries
E0940,impaired glucose regulation with unspecified neuropathy
N320,bladder-neck obstruction
M7977,"fibromyalgia, ankle and foot"
E630,essential fatty acid [efa] deficiency
A150,"tuberculosis of lung, confirmed by sputum microscopy with or without culture"
J170,pneumonia in bacterial diseases classified elsewhere
S678,crushing injury of other and unspecified parts of wrist and hand
S698,other specified injuries of wrist and hand
E1321,other specified diabetes mellitus with incipient diabetic nephropathy
M7976,"fibromyalgia, lower leg"
F510,nonorganic insomnia
S507,multiple superficial injuries of forearm
H118,other specified disorders of conjunctiva
S052,ocular laceration and rupture with prolapse or loss of intraocular tissue
L200,besnier's prurigo
C259,"malignant neoplasm of pancreas, part unspecified"
M0534,"rheumatoid arthritis with involvement of other organs and systems, hand"
J700,acute pulmonary manifestations due to radiation
E236,other disorders of pituitary gland
M0929,"juvenile arthritis in ulcerative colitis, site unspecified (k51.-+)"
G610,guillain-barr? syndrome
E899,"postprocedural endocrine and metabolic disorder, unspecified"
G252,other specified forms of tremor
M778,"other enthesopathies, not elsewhere classified"
S5252,fracture of lower end of radius with volar angulation
Z299,"prophylactic measure, unspecified"
J680,"bronchitis and pneumonitis due to chemicals, gases, fumes and vapours"
I600,subarachnoid haemorrhage from carotid siphon and bifurcation
G722,myopathy due to other toxic agents
T301,"erythema, body region unspecified"
H933,disorders of acoustic nerve
M5386,"other specified dorsopathies, lumbar region"
M2342,"loose body, posterior cruciate ligament or posterior horn of medial meniscus"
M0709,"distal interphalangeal psoriatic arthropathy (l40.5+), site unspecified"
M8990,"unspecified disorder of bone, multiple sites"
E240,pituitary-dependent cushing's disease
N998,other postprocedural disorders of genitourinary system
S1181,open wound (of any part of neck) communicating with a fracture
R601,generalised oedema
G718,other primary disorders of muscles
M6000,"infective myositis, multiple sites"
L661,lichen planopilaris
I110,hypertensive heart disease with (congestive) heart failure
M189,"arthrosis of first carpometacarpal joint, unspecified"
I878,other specified disorders of veins
M4319,"spondylolisthesis, site unspecified"
M8980,"other specified disorders of bone, multiple sites"
T2202,burn of unspecified thickness arm (upper) and shoulder region
N888,other specified noninflammatory disorders of cervix uteri
E1434,unspecified diabetes mellitus with other retinopathy
C439,"malignant melanoma of skin, unspecified"
M0692,"rheumatoid arthritis, unspecified, upper arm"
G462,posterior cerebral artery syndrome (i66.2+)
I633,cerebral infarction due to thrombosis of cerebral arteries
H708,other mastoiditis and related conditions
T731,effects of thirst
K8041,"calculus of bile duct with cholecystitis, with obstruction"
M2595,"unspecified joint disorder, pelvic region and thigh"
M4656,"other infective spondylopathies, lumbar region"
K8030,"calculus of bile duct with cholangitis, without mention of obstruction"
M7106,"abscess of bursa, lower leg"
I090,rheumatic myocarditis
S825,fracture of medial malleolus
C189,"malignant neoplasm of colon, unspecified part"
H46,optic neuritis
C402,malignant neoplasm of long bones of lower limb
D447,neoplasm of uncertain or unknown behaviour of aortic body and other paraganglia
S3612,"laceration of liver, unspecified"
S817,multiple open wounds of lower leg
I693,sequelae of cerebral infarction
K287,"gastrojejunal ulcer, chronic without haemorrhage or perforation"
H029,"disorder of eyelid, unspecified"
T939,sequelae of unspecified injury of lower limb
L109,"pemphigus, unspecified"
M8626,"subacute osteomyelitis, lower leg"
M2537,"other instability of joint, ankle and foot"
R488,other and unspecified symbolic dysfunctions
S230,traumatic rupture of thoracic intervertebral disc
T188,foreign body in other and multiple parts of alimentary tract
I019,"acute rheumatic heart disease, unspecified"
H709,"mastoiditis, unspecified"
L251,unspecified contact dermatitis due to drugs in contact with skin
M6282,"other specified disorders of muscle, upper arm"
E272,addisonian crisis
I741,embolism and thrombosis of other and unspecified parts of aorta
L568,other specified acute skin changes due to ultraviolet radiation
M2414,"other articular cartilage disorders, hand"
M6504,"abscess of tendon sheath, hand"
T120,"fracture of lower limb, level unspecified, closed"
W44,foreign body entering into or through eye or natural orifice
I201,angina pectoris with documented spasm
L279,dermatitis due to unspecified substance taken internally
H530,amblyopia ex anopsia
M8982,"other specified disorders of bone, upper arm"
S633,traumatic rupture of ligament of wrist and carpus
D140,"benign neoplasm of middle ear, nasal cavity and accessory sinuses"
N972,female infertility of uterine origin
D010,carcinoma in situ of colon
H311,choroidal degeneration
G719,"primary disorder of muscle, unspecified"
M1001,"idiopathic gout, shoulder region"
M4603,"spinal enthesopathy, cervicothoracic region"
M2501,"haemarthrosis, shoulder region"
L551,"sunburn, partial thickness"
